iter	Passed	Remaining
407	6429	25089
408	6445	25071
409	6460	25052
410	6474	25033
411	6488	25010
412	6502	24985
413	6516	24965
414	6532	24947
415	6546	24926
416	6560	24906
417	6574	24883
418	6589	24863
419	6605	24848
420	6620	24830
421	6634	24807
422	6650	24792
423	6666	24777
424	6682	24764
425	6696	24741
426	6709	24715
427	6723	24694
428	6738	24677
429	6754	24661
430	6770	24646
431	6785	24630
432	6798	24605
433	6816	24596
434	6833	24583
435	6847	24562
436	6863	24548
437	6879	24533
438	6895	24517
439	6909	24496
440	6922	24471
441	6939	24460
442	6955	24447
443	6971	24431
444	6987	24416
445	7003	24401
446	7019	24386
447	7034	24369
448	7049	24351
449	7066	24340
450	7082	24326
451	7098	24310
452	7113	24293
453	7130	24282
454	7147	24270
455	7162	24252
456	7179	24240
457	7196	24229
458	7214	24220
459	7228	24200
460	7244	24186
461	7261	24172
462	7277	24159
463	7293	24145
464	7314	24144
465	7332	24135
466	7348	24122
467	7365	24111
468	7381	24094
469	7398	24085
470	7416	24074
471	7432	24060
472	7450	24053
473	7468	24042
474	7482	24023
475	7499	24010
476	7515	23994
477	7532	23984
478	7548	23969
479	7564	23952
480	7579	23936
481	7595	23921
482	7610	23902
483	7624	23880
484	7637	23857
485	7655	23847
486	7670	23829
487	7685	23811
488	7701	23797
489	7715	23777
490	7733	23767
491	7747	23745
492	7763	23730
493	7780	23719
494	7794	23697
495	7812	23690
496	7827	23671
497	7842	23653
498	7857	23634
499	7874	23623
500	7887	23599
501	7903	23584
502	7920	23571
503	7936	23556
504	7954	23547
505	7972	23540
506	7990	23531
507	8009	23523
508	8023	23502
509	8040	23490
510	8057	23477
511	8076	23473
512	8095	23466
513	8111	23450
514	8132	23448
515	8150	23440
516	8170	23437
517	8189	23429
518	8208	23424
519	8225	23410
520	8243	23400
521	8261	23390
522	8278	23378
523	8297	23371
524	8314	23359
525	8334	23355
526	8350	23341
527	8368	23329
528	8385	23317
529	8402	23303
530	8421	23297
531	8437	23281
532	8457	23277
533	8475	23268
534	8493	23257
535	8510	23246
536	8525	23226
537	8544	23218
538	8558	23198
539	8576	23188
540	8593	23176
541	8610	23162
542	8625	23145
543	8640	23126
544	8656	23110
545	8675	23102
546	8693	23092
547	8708	23074
548	8722	23053
549	8738	23036
550	8756	23028
551	8772	23011
552	8788	22995
553	8804	22981
554	8820	22965
555	8841	22961
556	8854	22939
557	8869	22921
558	8886	22908
559	8903	22895
560	8922	22886
561	8940	22875
562	8956	22859
563	8975	22853
564	8992	22839
565	9007	22821
566	9028	22817
567	9044	22803
568	9059	22783
569	9075	22769
570	9091	22752
571	9106	22733
572	9121	22715
573	9137	22701
574	9153	22685
575	9170	22672
576	9186	22654
577	9202	22639
578	9216	22618
579	9232	22604
580	9249	22591
581	9265	22573
582	9278	22552
583	9295	22538
584	9311	22521
585	9326	22505
586	9340	22484
587	9357	22470
588	9371	22451
589	9387	22435
590	9402	22417
591	9418	22400
592	9434	22386
593	9449	22367
594	9467	22355
595	9482	22338
596	9499	22324
597	9515	22308
598	9529	22287
599	9544	22269
600	9562	22259
601	9578	22244
602	9591	22221
603	9605	22201
604	9622	22187
605	9639	22173
606	9656	22160
607	9671	22143
608	9688	22128
609	9703	22111
610	9720	22098
611	9735	22080
612	9752	22066
613	9766	22047
614	9780	22026
615	9795	22008
616	9808	21985
617	9823	21966
618	9838	21950
619	9853	21932
620	9870	21917
621	9887	21905
622	9903	21889
623	9919	21872
624	9935	21857
625	9950	21840
626	9968	21828
627	9983	21810
628	9998	21793
629	10016	21780
630	10030	21762
631	10047	21748
632	10063	21732
633	10080	21719
634	10097	21706
635	10112	21688
636	10129	21673
637	10143	21655
638	10158	21636
639	10173	21618
640	10189	21603
641	10204	21584
642	10219	21567
643	10234	21549
644	10250	21535
645	10266	21518
646	10285	21509
647	10302	21495
648	10319	21480
649	10334	21463
650	10351	21449
651	10367	21435
652	10385	21422
653	10402	21409
654	10418	21394
655	10435	21379
656	10451	21364
657	10469	21352
658	10486	21339
659	10504	21328
660	10521	21312
661	10538	21299
662	10553	21281
663	10570	21268
664	10585	21251
665	10603	21239
666	10621	21226
667	10640	21217
668	10659	21208
669	10678	21197
670	10695	21184
671	10713	21171
672	10732	21161
673	10750	21149
674	10769	21139
675	10788	21129
676	10805	21117
677	10821	21099
678	10840	21090
679	10858	21078
680	10875	21063
681	10893	21052
682	10912	21042
683	10928	21026
684	10945	21011
685	10961	20995
686	10976	20978
687	10992	20961
688	11007	20944
689	11024	20930
690	11042	20917
691	11058	20903
692	11074	20885
693	11089	20869
694	11106	20855
695	11123	20840
696	11137	20819
697	11152	20803
698	11170	20790
699	11186	20774
700	11203	20761
701	11220	20746
702	11237	20732
703	11254	20719
704	11271	20703
705	11287	20689
706	11305	20675
707	11322	20662
708	11341	20650
709	11357	20635
710	11372	20617
711	11387	20599
712	11403	20583
713	11419	20568
714	11437	20555
715	11451	20536
716	11467	20520
717	11483	20504
718	11499	20487
719	11514	20470
720	11528	20450
721	11544	20434
722	11560	20418
723	11573	20396
724	11587	20378
725	11602	20361
726	11616	20340
727	11632	20325
728	11649	20310
729	11664	20293
730	11680	20276
731	11694	20258
732	11709	20239
733	11723	20221
734	11739	20204
735	11753	20184
736	11769	20169
737	11784	20151
738	11800	20135
739	11813	20115
740	11827	20095
741	11842	20077
742	11856	20058
743	11870	20039
744	11888	20026
745	11906	20013
746	11920	19995
747	11938	19982
748	11951	19962
749	11966	19944
750	11980	19925
751	11995	19907
752	12011	19892
753	12028	19877
754	12042	19858
755	12059	19844
756	12073	19825
757	12088	19808
758	12104	19791
759	12121	19776
760	12136	19759
761	12154	19746
762	12170	19731
763	12187	19716
764	12203	19701
765	12218	19684
766	12233	19666
767	12248	19649
768	12262	19629
769	12279	19615
770	12292	19594
771	12306	19574
772	12319	19554
773	12335	19538
774	12349	19520
775	12362	19500
776	12376	19480
777	12392	19464
778	12408	19448
779	12424	19433
780	12439	19415
781	12455	19400
782	12471	19383
783	12485	19364
784	12498	19344
785	12511	19323
786	12526	19307
787	12542	19290
788	12556	19272
789	12569	19252
790	12586	19237
791	12598	19216
792	12613	19198
793	12626	19178
794	12641	19161
795	12657	19145
796	12672	19128
797	12685	19107
798	12699	19089
799	12714	19071
800	12728	19053
801	12745	19038
802	12761	19023
803	12775	19004
804	12791	18988
805	12805	18969
806	12832	18969
807	12854	18963
808	12874	18953
809	12894	18943
810	12916	18936
811	12934	18924
812	12953	18912
813	12968	18894
814	12986	18881
815	13002	18867
816	13021	18855
817	13038	18840
818	13056	18827
819	13072	18811
820	13088	18795
821	13106	18782
822	13124	18769
823	13140	18753
824	13157	18739
825	13173	18723
826	13187	18704
827	13202	18687
828	13220	18674
829	13236	18658
830	13255	18646
831	13271	18631
832	13288	18616
833	13305	18601
834	13323	18589
835	13343	18578
836	13360	18563
837	13377	18550
838	13395	18536
839	13411	18520
840	13424	18501
841	13440	18484
842	13456	18468
843	13473	18453
844	13486	18434
845	13502	18418
846	13518	18402
847	13532	18383
848	13546	18364
849	13562	18348
850	13576	18330
851	13591	18314
852	13607	18297
853	13622	18279
854	13637	18262
855	13651	18244
856	13666	18227
857	13681	18209
858	13695	18191
859	13710	18174
860	13725	18157
861	13741	18140
862	13757	18125
863	13770	18105
864	13784	18087
865	13799	18069
866	13813	18051
867	13826	18032
868	13839	18012
869	13856	17997
870	13872	17982
871	13889	17966
872	13905	17951
873	13920	17934
874	13936	17918
875	13951	17901
876	13964	17881
877	13978	17863
878	13994	17846
879	14009	17830
880	14024	17813
881	14040	17796
882	14056	17782
883	14070	17763
884	14086	17747
885	14101	17729
886	14118	17715
887	14133	17698
888	14147	17680
889	14161	17662
890	14176	17645
891	14190	17626
892	14204	17609
893	14219	17590
894	14233	17573
895	14248	17556
896	14262	17538
897	14276	17519
898	14288	17499
899	14303	17482
900	14319	17466
901	14332	17446
902	14349	17431
903	14363	17414
904	14376	17395
905	14393	17379
906	14408	17363
907	14422	17345
908	14438	17328
909	14452	17311
910	14467	17294
911	14482	17277
912	14499	17262
913	14516	17247
914	14531	17230
915	14544	17211
916	14559	17195
917	14575	17179
918	14590	17162
919	14607	17148
920	14620	17128
921	14637	17113
922	14654	17099
923	14670	17083
924	14688	17070
925	14704	17055
926	14719	17038
927	14735	17022
928	14751	17006
929	14767	16991
930	14783	16974
931	14798	16958
932	14814	16942
933	14829	16925
934	14842	16906
935	14858	16890
936	14877	16878
937	14893	16862
938	14909	16846
939	14924	16830
940	14940	16814
941	14954	16796
942	14969	16779
943	14982	16759
944	14994	16739
945	15011	16724
946	15025	16707
947	15038	16687
948	15051	16668
949	15067	16653
950	15082	16636
951	15098	16621
952	15116	16607
953	15136	16596
954	15153	16581
955	15168	16564
956	15184	16549
957	15198	16530
958	15213	16513
959	15228	16497
960	15244	16481
961	15257	16463
962	15271	16444
963	15286	16428
964	15304	16415
965	15318	16396
966	15334	16380
967	15350	16365
968	15363	16346
969	15378	16330
970	15395	16315
971	15411	16299
972	15426	16283
973	15446	16271
974	15462	16254
